	antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction
51	frozenset({'ItalAtlas'})	frozenset({'ArtBks', 'RefBks'})	0.037	0.0895	0.018	0.48648648648648646	5.435603200966329	0.014688499999999998	1.7730789473684208
92	frozenset({'ArtBks', 'Florence'})	frozenset({'ItalArt'})	0.0485	0.0485	0.0125	0.2577319587628866	5.314061005420343	0.01014775	1.2818819444444445
1	frozenset({'ItalArt'})	frozenset({'ArtBks', 'CookBks'})	0.0485	0.167	0.041	0.845360824742268	5.062040866720167	0.0329005	5.386733333333333
52	frozenset({'ItalArt', 'RefBks'})	frozenset({'ItalAtlas'})	0.02	0.037	0.0165	0.8250000000000001	22.297297297297302	0.01576	5.5028571428571444
70	frozenset({'ItalArt', 'ChildBks'})	frozenset({'ItalAtlas'})	0.036	0.037	0.0145	0.40277777777777785	10.88588588588589	0.013168000000000001	1.61246511627907
74	frozenset({'ItalAtlas', 'ArtBks'})	frozenset({'ItalCook'})	0.018	0.1135	0.013	0.7222222222222222	6.363191385217816	0.010957	3.1914
100	frozenset({'ItalArt'})	frozenset({'ItalAtlas', 'GeogBks'})	0.0485	0.0205	0.0115	0.23711340206185566	11.566507417651495	0.01050575	1.2839391891891894
12	frozenset({'DoItYBks', 'ArtBks'})	frozenset({'ItalArt'})	0.1235	0.0485	0.03	0.242914979757085	5.008556283651237	0.024010249999999997	1.2567941176470587
43	frozenset({'ItalCook', 'ChildBks'})	frozenset({'ItalAtlas'})	0.085	0.037	0.02	0.23529411764705882	6.359300476947536	0.016855000000000002	1.2593076923076925
63	frozenset({'ItalCook', 'RefBks'})	frozenset({'ItalArt'})	0.0465	0.0485	0.016	0.34408602150537637	7.09455714444075	0.01374475	1.4506475409836066
60	frozenset({'ItalArt'})	frozenset({'ItalAtlas'})	0.0485	0.037	0.0165	0.3402061855670103	9.19476177208136	0.014705500000000002	1.459546875
40	frozenset({'RefBks', 'GeogBks'})	frozenset({'ItalAtlas'})	0.1105	0.037	0.0205	0.18552036199095023	5.01406383759325	0.016411500000000002	1.18235
24	frozenset({'ItalArt'})	frozenset({'DoItYBks', 'ItalCook'})	0.0485	0.0585	0.025	0.5154639175257733	8.811349017534585	0.022162750000000002	1.9430957446808512
108	frozenset({'ItalArt'})	frozenset({'Florence', 'ItalCook'})	0.0485	0.0175	0.0095	0.1958762886597938	11.192930780559646	0.00865125	1.221826923076923
